Id,Status,Neutral,Warehouse,Code,Type,Area,SubNode,Latitude,Longitude,LevelId,LevelName,RegionId,RegionName
1,active,1,04,1,bin,Area1,[],0,0,1,Floor 1,1,Warehouse 1
2,active,1,04,1,bin,Area1,[],1,0,1,Floor 1,1,Warehouse 1
3,active,1,04,1,bin,Area1,[],2,0,1,Floor 1,1,Warehouse 1
4,active,1,04,1,bin,Area1,[],3,0,1,Floor 1,1,Warehouse 1
5,active,1,04,1,bin,Area1,[],4,0,1,Floor 1,1,Warehouse 1
6,active,1,04,1,bin,Area1,[],5,0,1,Floor 1,1,Warehouse 1
7,active,1,04,1,bin,Area1,[],6,0,1,Floor 1,1,Warehouse 1
8,active,1,04,1,bin,Area1,[],7,0,1,Floor 1,1,Warehouse 1
9,active,1,04,1,bin,Area1,[],8,0,1,Floor 1,1,Warehouse 1
10,active,1,04,1,bin,Area1,[],9,0,1,Floor 1,1,Warehouse 1
11,active,1,04,1,bin,Area1,[],10,0,1,Floor 1,1,Warehouse 1
12,active,1,04,1,bin,Area1,[],11,0,1,Floor 1,1,Warehouse 1
13,active,1,04,1,bin,Area1,[],12,0,1,Floor 1,1,Warehouse 1
14,active,1,04,1,bin,Area1,[],13,0,1,Floor 1,1,Warehouse 1
15,active,1,04,1,bin,Area1,[],14,0,1,Floor 1,1,Warehouse 1
16,active,1,04,1,bin,Area1,[],15,0,1,Floor 1,1,Warehouse 1
17,active,1,04,1,bin,Area1,[],16,0,1,Floor 1,1,Warehouse 1
18,active,1,04,1,bin,Area1,[],17,0,1,Floor 1,1,Warehouse 1
19,active,1,04,1,bin,Area1,[],18,0,1,Floor 1,1,Warehouse 1
20,active,1,04,1,bin,Area1,[],19,0,1,Floor 1,1,Warehouse 1
21,active,1,04,1,bin,Area1,[],20,0,1,Floor 1,1,Warehouse 1
22,active,1,04,1,bin,Area1,[],21,0,1,Floor 1,1,Warehouse 1
23,active,1,04,1,bin,Area1,[],22,0,1,Floor 1,1,Warehouse 1
24,active,1,04,1,bin,Area1,[],23,0,1,Floor 1,1,Warehouse 1
25,active,1,04,1,bin,Area1,[],24,0,1,Floor 1,1,Warehouse 1
26,active,1,04,1,bin,Area1,[],25,0,1,Floor 1,1,Warehouse 1
27,active,1,04,1,bin,Area1,[],26,0,1,Floor 1,1,Warehouse 1
28,active,1,04,1,bin,Area1,[],27,0,1,Floor 1,1,Warehouse 1
29,active,1,04,1,bin,Area1,[],28,0,1,Floor 1,1,Warehouse 1
30,active,1,04,1,bin,Area1,[],29,0,1,Floor 1,1,Warehouse 1
31,active,1,04,1,bin,Area1,[],30,0,1,Floor 1,1,Warehouse 1
32,active,1,04,1,bin,Area1,[],31,0,1,Floor 1,1,Warehouse 1
33,active,1,04,1,bin,Area1,[],32,0,1,Floor 1,1,Warehouse 1
34,active,1,04,1,bin,Area1,[],33,0,1,Floor 1,1,Warehouse 1
35,active,1,04,1,bin,Area1,[],34,0,1,Floor 1,1,Warehouse 1
36,active,1,04,1,bin,Area1,[],35,0,1,Floor 1,1,Warehouse 1
37,active,1,04,1,bin,Area1,[],36,0,1,Floor 1,1,Warehouse 1
38,active,1,04,1,bin,Area1,[],37,0,1,Floor 1,1,Warehouse 1
39,active,1,04,1,bin,Area1,[],38,0,1,Floor 1,1,Warehouse 1
40,active,1,04,1,bin,Area1,[],39,0,1,Floor 1,1,Warehouse 1
41,active,1,04,1,bin,Area1,[],40,0,1,Floor 1,1,Warehouse 1
42,active,1,04,1,bin,Area1,[],41,0,1,Floor 1,1,Warehouse 1
43,active,1,04,1,bin,Area1,[],42,0,1,Floor 1,1,Warehouse 1
44,active,1,04,1,bin,Area1,[],43,0,1,Floor 1,1,Warehouse 1
45,active,1,04,1,bin,Area1,[],44,0,1,Floor 1,1,Warehouse 1
46,active,1,04,1,bin,Area1,[],45,0,1,Floor 1,1,Warehouse 1
47,active,1,04,1,bin,Area1,[],46,0,1,Floor 1,1,Warehouse 1
48,active,1,04,1,bin,Area1,[],47,0,1,Floor 1,1,Warehouse 1
49,active,1,04,1,bin,Area1,[],48,0,1,Floor 1,1,Warehouse 1
50,active,1,04,1,bin,Area1,[],49,0,1,Floor 1,1,Warehouse 1
51,active,1,04,1,bin,Area1,[],50,0,1,Floor 1,1,Warehouse 1
52,active,1,04,1,bin,Area1,[],51,0,1,Floor 1,1,Warehouse 1
53,active,1,04,1,bin,Area1,[],52,0,1,Floor 1,1,Warehouse 1
54,active,1,04,1,bin,Area1,[],53,0,1,Floor 1,1,Warehouse 1
55,active,1,04,1,bin,Area1,[],54,0,1,Floor 1,1,Warehouse 1
56,active,1,04,1,bin,Area1,[],55,0,1,Floor 1,1,Warehouse 1
57,active,1,04,1,bin,Area1,[],56,0,1,Floor 1,1,Warehouse 1
58,active,1,04,1,bin,Area1,[],57,0,1,Floor 1,1,Warehouse 1
59,active,1,04,1,bin,Area1,[],58,0,1,Floor 1,1,Warehouse 1
60,active,1,04,1,bin,Area1,[],59,0,1,Floor 1,1,Warehouse 1
61,active,1,04,1,bin,Area1,[],60,0,1,Floor 1,1,Warehouse 1
62,active,1,04,1,bin,Area1,[],61,0,1,Floor 1,1,Warehouse 1
63,active,1,04,1,bin,Area1,[],62,0,1,Floor 1,1,Warehouse 1
64,active,1,04,1,bin,Area1,[],63,0,1,Floor 1,1,Warehouse 1
65,active,1,04,1,bin,Area1,[],64,0,1,Floor 1,1,Warehouse 1
66,active,1,04,1,bin,Area1,[],65,0,1,Floor 1,1,Warehouse 1
67,active,1,04,1,bin,Area1,[],66,0,1,Floor 1,1,Warehouse 1
68,active,1,04,1,bin,Area1,[],67,0,1,Floor 1,1,Warehouse 1
69,active,1,04,1,bin,Area1,[],68,0,1,Floor 1,1,Warehouse 1
70,active,1,04,1,bin,Area1,[],69,0,1,Floor 1,1,Warehouse 1
71,active,1,04,1,bin,Area1,[],70,0,1,Floor 1,1,Warehouse 1
72,active,1,04,1,bin,Area1,[],71,0,1,Floor 1,1,Warehouse 1
73,active,1,04,1,bin,Area1,[],72,0,1,Floor 1,1,Warehouse 1
